ID;DtVigencia;CtbBasica;CtbAdicional
1;16/05/2012;4,0000;0,0000
2;03/02/2012;8,0000;0,0000
3;12/04/2011;5,0000;0,0000
4;01/01/1999;8,0000;0,0000
4;01/01/2004;8,0000;4,0000
4;01/09/2011;8,0000;12,0000
4;21/05/2012;8,0000;54,0000
5;07/03/2006;8,0000;0,0000
6;01/01/1999;8,0000;0,0000
6;01/01/2009;8,0000;4,0000
6;01/01/2010;8,0000;7,0000
7;01/01/1999;8,0000;0,0000
8;01/01/1999;8,0000;0,0000
8;01/05/2015;8,0000;4,0000
9;01/01/1999;8,0000;0,0000
9;02/01/2002;3,0000;0,0000
9;01/01/2004;5,0000;0,0000
9;01/01/2012;8,0000;0,0000
10;01/01/1999;8,0000;0,0000
10;01/11/2013;0,0000;0,0000
11;03/09/2008;8,0000;4,0000
12;01/01/1999;8,0000;0,0000
12;02/01/2003;3,0000;0,0000
13;01/01/1999;8,0000;0,0000
14;01/01/1999;3,0000;0,0000
15;25/11/2008;8,0000;0,0000
15;01/02/2014;0,0000;0,0000
16;01/01/1999;3,0000;0,0000
16;01/01/2007;8,0000;0,0000
16;01/01/2017;8,0000;4,0000
17;01/01/1999;8,0000;0,0000
18;01/01/1999;8,0000;1,0000
19;01/01/1999;8,0000;6,0000
20;01/01/1999;8,0000;0,0000
21;01/01/1999;8,0000;0,0000
22;01/01/1999;8,0000;0,0000
22;01/02/2017;0,0000;0,0000
23;08/02/2000;4,0000;0,0000
23;01/01/2004;8,0000;0,0000
23;01/03/2010;0,0000;0,0000
24;07/12/2007;3,0000;0,0000
24;01/02/2014;0,0000;0,0000
25;07/12/2007;8,0000;0,0000
25;01/01/2009;8,0000;4,0000
25;01/05/2012;3,0000;0,0000
25;01/12/2012;0,0000;0,0000
26;07/01/2008;3,0000;0,0000
26;01/09/2014;3,0000;0,0000
26;01/10/2014;0,0000;0,0000
27;15/02/2001;4,0000;0,0000
27;01/02/2017;0,0000;0,0000
28;19/03/2001;8,0000;0,0000
28;01/01/2004;8,0000;4,0000
28;01/01/2005;8,0000;0,0000
29;01/01/1999;8,0000;0,0000
29;01/06/2009;0,0000;0,0000
30;01/01/1999;8,0000;0,0000
30;01/01/2011;8,0000;4,0000
30;01/01/2016;0,0000;0,0000
31;01/01/1999;8,0000;0,0000
31;01/07/2003;0,0000;0,0000
32;01/01/1999;8,0000;0,0000
32;01/07/2013;0,0000;0,0000
33;01/01/1999;8,0000;0,0000
33;01/07/2013;0,0000;0,0000
34;01/01/1999;8,0000;0,0000
35;01/01/1999;8,0000;0,0000
35;01/07/2009;0,0000;0,0000
36;01/01/1999;8,0000;0,0000
36;01/03/2013;0,0000;0,0000
37;08/12/2005;7,0000;0,0000
38;01/04/1999;8,0000;0,0000
38;01/01/2007;8,0000;4,0000
38;01/01/2008;8,0000;5,0000
39;07/12/2007;8,0000;0,0000
40;08/08/2003;8,0000;0,0000
41;18/04/2017;0,0000;4,0000
43;03/12/2008;3,0000;0,0000
43;01/01/2014;8,0000;0,0000
44;01/01/1999;8,0000;0,0000
44;01/01/2014;8,0000;4,0000
45;24/10/2017;0,0000;4,0000
46;01/08/2013;8,0000;0,0000
47;01/01/1999;3,0000;0,0000
48;15/04/2015;4,0000;1,0000
49;01/01/1999;8,0000;0,0000
49;01/01/2017;8,0000;4,0000
50;21/08/2017;5,0000;0,0000
51;14/08/2014;8,0000;0,0000
52;01/01/1999;3,0000;0,0000
52;01/01/2004;8,0000;0,0000
53;25/10/2013;8,0000;0,0000
